run_id,timestamp,algorithm,strategy,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,n_features,n_train_samples,excluded_features,notes,gpu,duration_s
run_20260531_050058_lightgbm_strategyA_gravity_only,2026-05-31 05:01:17,lightgbm,strategyA_gravity_only,43.4626,2.9036,23.2766,0.4255,32,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,Gravity-only ablation with LightGBM,False,18.3
run_20260531_050118_xgboost_strategyA_gravity_clean,2026-05-31 05:01:50,xgboost,strategyA_gravity_clean,42.0965,3.5693,22.1845,0.2716,28,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score|size_imputed|coords_swapped|poi_data_available|gravity_data_available,"Gravity-only, boolean noise removed, XGBoost",True,31.8
run_20260531_050152_lightgbm_strategyA_gravity_clean,2026-05-31 05:02:11,lightgbm,strategyA_gravity_clean,44.4988,3.4274,23.7417,0.5006,28,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score|size_imputed|coords_swapped|poi_data_available|gravity_data_available,"Gravity-only, boolean noise removed, LightGBM",False,19.0
run_20260531_050213_lightgbm_strategyA_flat_only,2026-05-31 05:02:32,lightgbm,strategyA_flat_only,43.5413,2.9469,23.2348,0.3640,43,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|school_gravity_score|hospital_gravity_score|transport_gravity_score|market_gravity_score|worship_gravity_score|hospitality_gravity_score|composite_gravity_score|raw_composite_gravity,Flat-only ablation with LightGBM,False,18.6
run_20260531_050233_xgboost_strategyA_flat_clean,2026-05-31 05:03:05,xgboost,strategyA_flat_clean,42.5046,2.5549,22.2132,0.3008,39,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|school_gravity_score|hospital_gravity_score|transport_gravity_score|market_gravity_score|worship_gravity_score|hospitality_gravity_score|composite_gravity_score|raw_composite_gravity|size_imputed|coords_swapped|poi_data_available|gravity_data_available,"Flat-only, boolean noise removed, XGBoost",True,31.6
run_20260531_050307_lightgbm_strategyA_flat_clean,2026-05-31 05:03:26,lightgbm,strategyA_flat_clean,44.1206,3.0399,23.5835,0.3095,39,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|school_gravity_score|hospital_gravity_score|transport_gravity_score|market_gravity_score|worship_gravity_score|hospitality_gravity_score|composite_gravity_score|raw_composite_gravity|size_imputed|coords_swapped|poi_data_available|gravity_data_available,"Flat-only, boolean noise removed, LightGBM",False,18.8
run_20260531_052630_randomforest_strategyA_gravity_only,2026-05-31 05:27:42,randomforest,strategyA_gravity_only,41.4238,2.4045,21.5180,0.3717,32,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,S19: Gravity-only with Random Forest (XAI focus),False,72.0
run_20260531_052744_randomforest_strategyC,2026-05-31 05:29:17,randomforest,strategyC,41.7562,2.5215,21.5828,0.3411,55,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m,S20: Strategy C with Random Forest (XAI focus),False,93.1
run_20260531_052919_randomforest_strategyA_flat_only,2026-05-31 05:30:20,randomforest,strategyA_flat_only,41.4415,2.4674,21.4404,0.2945,43,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|school_gravity_score|hospital_gravity_score|transport_gravity_score|market_gravity_score|worship_gravity_score|hospitality_gravity_score|composite_gravity_score|raw_composite_gravity,S21: Flat-only with Random Forest (XAI focus),False,61.1
run_20260531_062548_xgboost_strategyA_gravity_only,2026-05-31 06:26:40,xgboost,strategyA_gravity_only,40.6580,2.9947,21.7469,0.3097,32,19960,Outlet_ID|seasonality_jan_2026|distributor_id|target|has_transaction_history|exclude_from_training|baseline_potential_litres|jan_2026_holiday_count|jan_2026_trading_days|hist_p75_monthly|hist_mean_monthly|total_volume|hist_std_monthly|ema_6m|recent_3m_avg|jan_max_volume|hist_p90_monthly|hist_max_monthly|jan_avg_volume|ema_3m|schools_500m|schools_1000m|schools_2000m|hospitals_500m|hospitals_1000m|hospitals_2000m|transport_500m|transport_1000m|transport_2000m|markets_500m|markets_1000m|markets_2000m|worship_500m|worship_1000m|worship_2000m|hospitality_500m|hospitality_1000m|hospitality_2000m|footfall_score,S6 Optuna Tuned,True,51.2
